id,age,gender,profession,quadrant,type,content,category
25,30-40歲,,植物店老闆,Q4,意外發現者 Accidental Naturals,原本做室內設計做到很煩，某天突然很想種菜。結果瘋狂研究植物，被室友趕去租溫室，自立門戶。短短五六年的事，人生永遠不知道會走到哪。,創業 / 商業
26,20-30歲,,（幽默回應）,Q4,意外發現者 Accidental Naturals,27歲，天賦：很會花錢。,探索中 / 尚未定義
27,40歲以上,M,Podcast主持人,Q4,意外發現者 Accidental Naturals,本來一輩子當工程師，被說沒有私生活。後來跟朋友錄Podcast，被財經節目邀請，發現人生有夠荒謬但有趣。,創作者 / 藝術
28,20-30歲,F,空中瑜珈老師／鉤針老師,Q3,熱情追尋者 Passionate Seekers,28歲接觸空中瑜珈後愛上，一年半考了國際證照。同時28歲開始玩鉤針，也開始教課至今一年多。,教育 / 顧問
29,30-40歲,M,軟體工程師／潛水地圖開發者,Q2,策略轉型者 Strategic Pivoters,35歲轉職當軟體工程師。因學潛水發現泰國潛水產業數位化不足，自己動手做了Thailand Dive Map。,工程 / 科技
30,30-40歲,,留言觀察者,Q3,熱情追尋者 Passionate Seekers,看完留言發現大部分人都在30歲後找到方向，30歲前的焦慮是必經過程。帶著探索和負責的心情前進。,特殊職涯 / 非典型
31,20-30歲,,遊戲翻譯師,Q2,策略轉型者 Strategic Pivoters,發現自己很愛打遊戲又有語言能力，結合起來做遊戲翻譯養活自己。,探索中 / 尚未定義
32,20-30歲,F,水晶藝術設計師,Q1,被迫適應者 Forced Adapters,27歲經歷家庭、感情、工作各種PUA，甚至想結束一切。裸辭後做過平面設計，後來順著興趣做水晶藝術設計，才發現天賦在這裡。,創作者 / 藝術
33,30-40歲,M,好萊塢視覺特效師,Q3,熱情追尋者 Passionate Seekers,從小喜歡畫畫，大學因分數念了財金系。被阿凡達、漫威特效吸引，退伍後轉學特效。38歲參與過《乘乘風破浪》《黑豹2》《乘奇異博士》等電影特效製作。,影音 / 媒體
34,20-30歲,F,珠寶設計師,Q3,熱情追尋者 Passionate Seekers,25歲離開行政職投入珠寶設計，前六個月幾乎沒訂單。默默耕耘四年多，今年多了客製化珠寶的機會。相信忠於自己的設計，總會有欣賞的人出現。,設計 / 美學
35,30-40歲,M,復健科醫師／滑雪運動醫學,Q3,熱情追尋者 Passionate Seekers,35歲復健科醫師，從小愛滑雪但沒時間。學長一句「為什麼不結合起來」，開始全力投入滑雪運動醫學，舉辦超過20場講座。在診間聽到病人滑雪受傷反而很開心（誤）。,運動 / 戶外
36,20-30歲,F,餐飲店老闆,Q4,意外發現者 Accidental Naturals,28歲離開台積電接觸餐飲業，被第一位店長稱讚學東西很快。新人到店長只花兩個月，後來有了自己的小店。感謝當時店長的鼓勵。,創業 / 商業
37,30-40歲,,編劇（金馬獎入圍）,Q3,熱情追尋者 Passionate Seekers,33歲才寫出人生第一個劇本並拿到補助。大學和研究所都與電影無關，靠大量看片和外面課程自學。努力永遠不晚。,創作者 / 藝術
38,30-40歲,,專案經理,Q4,意外發現者 Accidental Naturals,做業務賺到錢但壓力大、身體搞垮。轉當秘書發現溝通協調能力強，後來轉到PM領域得到很好的發展。建議用心觀察自己幾個月，記錄擅長和開心的事。,探索中 / 尚未定義
39,30-40歲,,（人生哲理分享）,Q2,策略轉型者 Strategic Pivoters,肯德基爺爺65歲才開始賣炸雞。分享者35歲轉職工程師。認為沒有天賦不天賦，做了開心的事就是你的禮物。,探索中 / 尚未定義
40,30-40歲,M,音樂人／金鐘獎主持人,Q3,熱情追尋者 Passionate Seekers,30歲第一次寫歌，35歲第一次主持，40歲拿金鐘獎。生活從沒百分百餘裕，但對每件事都120%投入。認為沒有100%投入這回事，只有「當下120%的投入」才是真的。,創作者 / 藝術
41,30-40歲,M,水果批發商,Q1,被迫適應者 Forced Adapters,15歲接觸市場，前半段只是混時間。家人離世後接手，才發現喜歡跟人接觸。賣東西是附加，面對不同客群得到的觀點與收穫才是一直做下去的原因。,創業 / 商業
42,20-30歲,M,IFBB自然健美世界冠軍,Q3,熱情追尋者 Passionate Seekers,10歲發現喜歡肌肉酸痛的感覺。19歲才知道有健美比賽，26歲拿下IFBB職業卡，27歲成為世界冠軍。不需要想太多，把喜歡的事做到極致就會找到目標。,運動 / 戶外
43,30-40歲,F,足部服務內容創作者,Q4,意外發現者 Accidental Naturals,原本是無聊的行政內勤，生完小孩自信低落時被稱讚腳好看，從此開啟這個領域，做了快十年，比之前所有工作都久。,創作者 / 藝術
44,20歲以下,M,球鞋店／潮流店老闆,Q3,熱情追尋者 Passionate Seekers,13歲開始瘋狂找球鞋，買到所有人都認識他。從賣球鞋到開店，再到中國當球鞋博主，接近潮流球鞋產業頂端。每天還是在買球鞋。,創業 / 商業
45,30-40歲,F,曼陀羅石藝術家,Q4,意外發現者 Accidental Naturals,十幾年前看到一篇網路農場文說有人在石頭上畫曼陀羅，想說「應該不難吧」，結果畫了十幾年。,創作者 / 藝術
46,30-40歲,M,旅行社老闆（秘魯）,Q3,熱情追尋者 Passionate Seekers,29歲前一直當業務，受不了辭職去峇里島。嘗試過Amazon賣珍奶、皮拉提斯教練。31歲來到秘魯開旅行社，把前面所有累積的技能整合在一起。當事業能當飯吃的時候再來談熱情。,創業 / 商業
47,20-30歲,F,蠟燭藝術家／工作室經營者,Q3,熱情追尋者 Passionate Seekers,25歲裸辭行銷工作，覺得人生沒意義。意外接觸蠟燭工藝直接愛上，經營手作工作室邁向第五年。做喜歡的事體感時間超快。,創作者 / 藝術
48,40歲以上,F,命理師（紫微斗數＋塔羅）,Q3,熱情追尋者 Passionate Seekers,24歲自學紫微斗數，30歲全職命理創業，兩天學會塔羅。現在43歲，用紫微斗數解答國運和股市分析，每年在師大教課。超愛教課。,靈性 / 命理
49,20歲以下,,全職作家／多重天賦者,Q4,意外發現者 Accidental Naturals,5歲被發現藝術天賦，7歲作文被刊登校刊，8歲代表學校比賽。職場後被發現適合做精品編輯。現在是全職作家。,創作者 / 藝術
50,20-30歲,F,美容師（10年經驗）,Q4,意外發現者 Accidental Naturals,從事美容第二年發現自己很容易偵測到客人身體的痠痛點和原因。強調天賦只是一部分，更重要的是如何運用和放大它。,設計 / 美學
51,30-40歲,,尚未找到天賦,Q4,意外發現者 Accidental Naturals,33歲還沒找到天賦。以前羨慕各種有才華的人，後來想想也許出廠設定就是沒有點天賦。有兩個小孩，在國營事業上班，沒有天賦好像也沒關係。,探索中 / 尚未定義
52,40歲以上,M,卡車銷售／工廠經營（非洲）,Q1,被迫適應者 Forced Adapters,28歲被派去非洲覺得待不下去，回台開雞排店賺了幾百萬。40歲重回非洲創業賣卡車，目標五年內帶家人去美國定居。,探索中 / 尚未定義
53,20歲以下,F,小說家／自由工作者,Q3,熱情追尋者 Passionate Seekers,11歲看小說不爽結局，覺得自己寫得更好看。16歲出版第一本小說，大學四年連續出版。失意時看回自己作品還是覺得好好看。,創作者 / 藝術
54,20-30歲,F,護膚專家,Q4,意外發現者 Accidental Naturals,27歲突然發現自己超會清粉刺，手感超好。下班後100%投入學習皮膚學，從副業經營到全職。31歲還是覺得很神奇。,探索中 / 尚未定義
55,20-30歲,M,手工車店老闆,Q3,熱情追尋者 Passionate Seekers,從小喜歡畫畫讀設計，畢業後跑去學鐵工被家人酸。24歲迷上手工車，29歲開店，還拿了比賽獎項。,創業 / 商業
56,20-30歲,F,攝影師／製作公司老闆,Q3,熱情追尋者 Passionate Seekers,高中愛上咖啡成為咖啡師，疫情後轉攝影。得了獎、上了電視，但也經歷焦慮症和憂鬱症。透過禪修和專業治療幾近痊癒。跌倒受傷會懷疑人生，但回頭看有成長就夠了。,創作者 / 藝術
57,20-30歲,F,寵物保姆,Q3,熱情追尋者 Passionate Seekers,28歲突然想往寵物保姆發展，第三個月直接裸辭。快滿一年，感謝自己的決定。,寵物 / 動物
58,40歲以上,,翻譯師／中文教師,Q4,意外發現者 Accidental Naturals,天生記性好，特別是中文和圖像。讀中文系、寫作、當中文教師。離開香港後記憶力依然對新工作很有幫助。,探索中 / 尚未定義
59,40歲以上,,創業者（整合能力）,Q2,策略轉型者 Strategic Pivoters,40歲發現自己有整合的能力，秉持營業3小時賺8小時的錢。找到跟別人的差異和提前佈署的能力。,創業 / 商業
60,20-30歲,F,舞者／舞蹈治療師（進行中）,Q3,熱情追尋者 Passionate Seekers,家人強迫念護理，一邊念一邊跟憂鬱搏鬥。24歲決定要結束時問自己什麼事能讓她繼續活著，答案是跳舞。29歲出國念舞蹈治療，32歲還在路上。,醫療 / 心理
61,20-30歲,,創業者,Q3,熱情追尋者 Passionate Seekers,23歲發現一份薪水能做三人份的工作，決定自己奴役自己。目前籌備公司中。,創業 / 商業
62,40歲以上,,民宿設計師,Q4,意外發現者 Accidental Naturals,40歲沒什麼天賦，但喜歡民宿的美好。一路做到今天，幫屋主成家的感覺蠻好的。,設計 / 美學
63,20-30歲,F,拳擊手套設計師,Q3,熱情追尋者 Passionate Seekers,24歲接觸拳擊，覺得所有手套都不好用，自己設計了一個。28歲國外開始有討論，但台灣銷量掛蛋，還是很迷茫。,設計 / 美學
64,40歲以上,,音樂創業者,Q3,熱情追尋者 Passionate Seekers,快40歲，鼓勵把困惑當成動力。喜歡音樂20年，做遍所有音樂相關的事。今年開了公司，還是有困惑但願意繼續探索。,創作者 / 藝術
65,20-30歲,F,游泳教練／美術老師／健身房老闆,Q4,意外發現者 Accidental Naturals,一路先做再選擇：救生員、游泳教練、畫畫老師、獨木舟教練、健身教練。跟美甲師夥伴開了複合式工作室。每個人都有自己的時區。,教育 / 顧問
66,30-40歲,F,心理健康倡議者／諮詢師,Q1,被迫適應者 Forced Adapters,躁鬱症患者，19歲發病後反覆住院。經歷婚姻破裂，但不放棄學習。發現擅長傾聽和同理，開辦身心疾病關懷社團和談心工作室。公視紀錄片入圍金鐘獎。,醫療 / 心理
67,40歲以上,,轉職中的求職者,Q3,熱情追尋者 Passionate Seekers,40歲放棄月收近五萬的工作，選擇低薪工作來進修轉職。面試被洗臉，但覺得要先有專業和含金量，有錢才能有選擇。,探索中 / 尚未定義
68,30-40歲,F,命理師／生命教練,Q1,被迫適應者 Forced Adapters,33歲前經歷各種PUA，失去健康，差點走上絕路。遇到貴人幫助找回健康，踏上命理師的道路，想成為能接住別人的人。,教育 / 顧問
69,30-40歲,F,花店老闆,Q4,意外發現者 Accidental Naturals,從小喜歡花草但家裡有金融事業要接班。以為大家都會花藝，去上課後發現自己用看的就能理解。開了店、教學、拿國際證照、合作頂級品牌。,創業 / 商業
70,20歲以下,,多重熱情創業者,Q3,熱情追尋者 Passionate Seekers,小學發現第一項熱愛，國中第二項。大學認真執行，畢業後結合天賦和熱愛創業。永遠以200%的精力在享受工作。,創業 / 商業
71,30-40歲,,物理治療師／動作科學家,Q3,熱情追尋者 Passionate Seekers,本業物理治療師結合運動興趣，用動作科學串起所有專長。讓興趣結合職業和生活，目前還算開心。,醫療 / 心理
72,20歲以下,M,髮型設計師／舞者,Q3,熱情追尋者 Passionate Seekers,16歲剪到一個難看的頭，心想「有那麼難嗎」。22歲重新開始跳舞。認為天賦就是興趣，因為有興趣才能一直幹下去。,設計 / 美學
73,20歲以下,M,後端工程師（三份工作）,Q2,策略轉型者 Strategic Pivoters,高中意外考太高，成績倒數。轉而在資訊科目努力，做出天賦。27歲有三份程式工作，每天工作12小時起跳，很累但很喜歡。,工程 / 科技
74,20歲以下,F,聲音產業工作者／廣播主持人,Q3,熱情追尋者 Passionate Seekers,高中發現喜歡聲音產業，投入五六年。沒有天賦但持續努力，獲得了成就和溫暖支持。目前工作之一是廣播主持。,創作者 / 藝術
75,30-40歲,F,整理師,Q3,熱情追尋者 Passionate Seekers,33歲嘗試各種課程和書籍探索自己，決定成為整理師。佛系兼職，今年終於成為主要收入來源。,探索中 / 尚未定義
76,20歲以下,F,美甲師／美業創業者,Q3,熱情追尋者 Passionate Seekers,18歲發現超喜歡美業，到現在快9年。開了公司和兩層樓店面，還打算繼續擴張。,設計 / 美學
77,30-40歲,,自我探索倡導者,Q3,熱情追尋者 Passionate Seekers,推薦系統化探索天賦的書籍。36歲還在摸索，但開始了解自己想要什麼和什麼帶來成就感。,探索中 / 尚未定義
78,20-30歲,F,琉璃藝術創業者,Q3,熱情追尋者 Passionate Seekers,26歲離開公家機關，27歲創業做琉璃藝術。路很艱辛但忙碌充實也快樂，希望推廣台灣在地工藝。,創作者 / 藝術
79,30-40歲,,非營利組織創辦人,Q3,熱情追尋者 Passionate Seekers,30歲職業倦怠，因緣際會成立非營利組織。過程中還是會倦怠和迷茫，但做喜歡的事總會有轉機。,探索中 / 尚未定義
80,30-40歲,,擁抱持續改變者,Q3,熱情追尋者 Passionate Seekers,熱情每2-3年在變，但願意投入的就是持續改變跟進步。100%投入每次改變，看似差異很遠的點也會連成線。,探索中 / 尚未定義
81,40歲以上,F,按摩師,Q3,熱情追尋者 Passionate Seekers,48歲來美國，因為自己很愛按摩所以去上了550小時按摩課。一週工作3-4天，非常投入。,探索中 / 尚未定義
82,20歲以下,M,導演／內容創作者,Q4,意外發現者 Accidental Naturals,11歲學校測驗說未來可以當導演，被同學笑。17歲開始拍影片。22歲走火入魔愛上攝影。現在跟網紅藝人拍攝創作，實現了11歲的測驗結果。,創作者 / 藝術
83,20歲以下,,西瓜達人（幽默）,Q4,意外發現者 Accidental Naturals,大約10歲在市場發現自己可以靠手感分辨西瓜的水分。47歲了買西瓜時還是知道這個秘密。,探索中 / 尚未定義
84,20-30歲,F,美甲店老闆,Q3,熱情追尋者 Passionate Seekers,23歲疫情最嚴重時零客源直接開美甲店。大家都不看好，但結果開得很成功。,設計 / 美學
85,40歲以上,F,水晶療癒師／占卜師,Q1,被迫適應者 Forced Adapters,42歲離婚帶三個小孩，邊工作邊打工。走過風雨後投入心理學和占卜，現在用水晶搭配占卜引導迷惘的人。錢夠用就好，每天過得很快樂。,探索中 / 尚未定義
86,20歲以下,M,房仲店長,Q3,熱情追尋者 Passionate Seekers,17歲休學覺得能力配不上想要的薪水，嘗試了近30份工作。19歲被分手後立志要成為厲害的人。20歲踏入仲介，去年拿千萬經紀人，今年當店長。,創業 / 商業
87,20-30歲,,身心靈老師／設計師,Q4,意外發現者 Accidental Naturals,17歲開了陰陽眼，27歲當設計師找不到成就感。兩年前衝動辭職走身心靈老師的路，現在做人生藍圖諮詢和品牌策劃。,設計 / 美學
88,20-30歲,F,美甲師／品牌創辦人,Q3,熱情追尋者 Passionate Seekers,22歲學美甲，23歲開工作室，25歲開店，31歲創立自有品牌。,設計 / 美學
89,20歲以下,,設計愛好者／手工車製作,Q3,熱情追尋者 Passionate Seekers,從小喜歡畫畫，讀設計科系。畢業後學鐵工被家人酸，24歲迷上手工車，29歲開手工車店，拿了比賽獎項。,設計 / 美學
90,20歲以下,F,手作飾品創業者,Q4,意外發現者 Accidental Naturals,19歲為了市集報告買了珠珠，越做越有心得，直接做到申辦行號營登商標註冊。,創業 / 商業
91,30-40歲,,職涯諮詢師／培訓公司創辦人,Q3,熱情追尋者 Passionate Seekers,高中開始思考未來，第一份工作發現喜歡協助別人找方向。現在是超過十年經驗的職涯諮詢師，也開了培訓公司。,教育 / 顧問
92,30-40歲,F,空服員面試教練,Q3,熱情追尋者 Passionate Seekers,25歲從澳洲回來一次考上三家航空公司。後來幫網友準備面試也都考上。堅持不用AI，靠自己做完整教材，一對一客製化教學。看到學生傳來好消息時很開心。,教育 / 顧問
93,20歲以下,M,攝影師（國際獎項100+）,Q3,熱情追尋者 Passionate Seekers,19歲買相機自學攝影，拍了十七年。累積超過一百座國際攝影獎項。後來才明白自己的天賦本來就在攝影，不是在其他事情上。,創作者 / 藝術
94,20-30歲,M,生活風格創業者,Q3,熱情追尋者 Passionate Seekers,28歲前追求高薪，28歲後覺得人生只有上班沒意義。創業三年多，一週只開3-4天，只賺夠快樂花就好。不是為了賺錢才創業，是為了享受人生才離職。,創業 / 商業
95,30-40歲,M,全職投資者,Q3,熱情追尋者 Passionate Seekers,29歲立志35歲離開職場。每天下班後6小時學投資，發現會快速進入心流。去年35歲目標達成，離職當專職投資者。,金融 / 投資
96,20歲以下,F,寵物美容師／動物農場工作者,Q3,熱情追尋者 Passionate Seekers,從小愛動物到把爸媽氣死。學了畜牧獸醫，做了21年寵物美容。後來轉職到動物農場，很曬很累很髒但真的好喜歡。,設計 / 美學
97,20-30歲,M,海洋垃圾非營利組織創辦人,Q3,熱情追尋者 Passionate Seekers,24歲休學創業軟體公司，在龍目島遇到一個小女孩說來台灣當外勞是她的夢想。28歲在峇里島創辦海洋垃圾非營利組織，用直接的方式解決海洋垃圾和貧富差距。,探索中 / 尚未定義
98,40歲以上,M,職業畫家（國際展出）,Q3,熱情追尋者 Passionate Seekers,16歲立志當畫家。41歲賣房走完歐洲65個美術館自學油畫。59歲關掉月收30萬的畫室，創立畫派當職業畫家，取得慕尼黑美術館合作。台灣沒名，國際很重視。,創作者 / 藝術
99,30-40歲,F,毛根手作花店老闆,Q4,意外發現者 Accidental Naturals,30歲跟先生和媽媽在都有正職的情況下斜槓經營手作花店。一開始不覺得有天賦，做了之後才發現各自擅長的地方。,創業 / 商業
100,30-40歲,M,金工師（澳洲）,Q3,熱情追尋者 Passionate Seekers,原本在台灣做金飾鑑定回收，跟女友來澳洲後開拓金工教學。八年了還沒倦怠，喜歡協助大家製作屬於自己的戒指。,探索中 / 尚未定義
101,20歲以下,,設計系學生,Q1,被迫適應者 Forced Adapters,大一拍的作業被全班和老師笑。當下決定要努力學好設計和攝影。,設計 / 美學
102,20歲以下,M,音樂人／潛水愛好者,Q3,熱情追尋者 Passionate Seekers,11歲開始彈吉他就覺得會玩一輩子。23歲開錄音室。29歲接觸潛水感受到久違的熱愛。天賦就在自己的熱情所在。,創作者 / 藝術
103,20-30歲,M,3D建模師（視障者）,Q3,熱情追尋者 Passionate Seekers,24歲接受自己有視障的缺陷，但不想活在恐懼裡。每天學習3D建模，想把自己的視界分享給大家。,工程 / 科技
104,20歲以下,F,手作飾品創業者,Q4,意外發現者 Accidental Naturals,19歲為做市集報告買珠珠，越做越有心得，直接做到有行號和商標。,創業 / 商業
105,30-40歲,,職涯諮詢師,Q3,熱情追尋者 Passionate Seekers,高中開始思考未來，發現喜歡幫人找方向。超過十年接案經驗，也開了職涯諮詢師培訓公司。,醫療 / 心理
106,30-40歲,F,電腦刺繡品牌創辦人,Q3,熱情追尋者 Passionate Seekers,22歲到33歲嘗試過百貨陳列、服飾品牌設計、自創品牌。33歲接觸電腦刺繡覺得是人生使命。經歷疫情、股東退出、團隊瓦解仍堅持到40歲。,創業 / 商業
107,30-40歲,F,花藝師,Q1,被迫適應者 Forced Adapters,在電商工作15年。很親近的下屬輕生讓她走不出來半年，後來接觸花藝被療癒，35歲決定投入花藝。覺得老天會鋪一條路給每個人。,探索中 / 尚未定義
108,20歲以下,,工程師（但愛藝術）,Q3,熱情追尋者 Passionate Seekers,出生後就對藝術著迷，追著藝術跑。結果成為了工程師。自嘲天賦不是藝術本身，而是熱愛藝術的腦袋。,創作者 / 藝術
109,20-30歲,F,塔羅牌／水晶銷售,Q3,熱情追尋者 Passionate Seekers,25歲學塔羅當副業，收入慢慢超過正職就離職專做。六年多了，把生活主導權還給自己，覺得挺值得。,靈性 / 命理
110,30-40歲,F,身心靈諮詢師／命理師,Q4,意外發現者 Accidental Naturals,33歲迷惘去找前世今生老師，被說有教導天賦。後來學了coaching，做HR幫公司轉型培養人才。迷惘就是靠近天賦的開始。,醫療 / 心理
111,20-30歲,M,餐廳老闆（可麗餅起家）,Q3,熱情追尋者 Passionate Seekers,本來想開電玩店，19歲進餐飲業後喜歡上內場的變化和節奏。從路邊可麗餅到早午餐到全日餐館，一路求新求變經營至今。,創業 / 商業
112,20-30歲,,多元運動教練／工作室老闆,Q4,意外發現者 Accidental Naturals,一路先上路再選擇：救生員、游泳教練、畫畫老師、獨木舟教練、健身教練。跟夥伴開了複合式工作室。,教育 / 顧問
113,30-40歲,F,躁鬱症患者轉心理諮詢師,Q1,被迫適應者 Forced Adapters,19歲發病反覆住院，經歷婚姻破裂。發現擅長傾聽和同理，開辦關懷社團和諮詢工作室，公視紀錄片入圍金鐘獎。,醫療 / 心理
114,30-40歲,,全職投資者／佛學修行者,Q3,熱情追尋者 Passionate Seekers,31歲投入全職交易。38歲疫情期間讀佛經，開始每天念佛。加入助念志工團。投資和念佛是此生兩大志業。,靈性 / 命理
115,20-30歲,,電影發行／OTT平台工作者,Q3,熱情追尋者 Passionate Seekers,喜歡看電影但不想拍片。畢業後去澳洲一年思考人生，回來進電影發行公司，現在每天工作就是看電影。,探索中 / 尚未定義
116,20歲以下,F,果醬創業者,Q3,熱情追尋者 Passionate Seekers,19歲發現自己在廚房能忘記時間。將無毒柑橘製成威士忌柑橘醬，大二直接休學創業。12年了從果醬女孩變果醬媽咪，希望做到果醬阿嬤。,創業 / 商業
117,20-30歲,,電商創業者,Q3,熱情追尋者 Passionate Seekers,26歲進電商公司，發現自己可以研究市場到忘記吃飯。下班後工作到清晨六點覺得很有趣。36歲年營業額7200萬、24名員工。,創業 / 商業
118,20歲以下,M,跑者,Q3,熱情追尋者 Passionate Seekers,16歲前從不運動，16歲開始跑步減肥，越跑越遠。疫情期間開始跑山，一跑30幾公里。還沒強大到以跑步謀生，但願意100%投入。,探索中 / 尚未定義
119,30-40歲,,自由文字工作者,Q3,熱情追尋者 Passionate Seekers,一直喜歡故事和敘事。第一份工作當媒體編輯，輾轉換公司。現在全職文字接案。不喜歡的環境就離開，技能到位就不用限縮自己。,探索中 / 尚未定義
120,30-40歲,M,全職攝影師,Q3,熱情追尋者 Passionate Seekers,30歲離開穩定工作全職攝影。40歲了不後悔。從小對美的直覺很強，挑東西永遠最貴。在光線、選照片、調色上特別得心應手。,創作者 / 藝術
121,30-40歲,,日本節目智慧,Q3,熱情追尋者 Passionate Seekers,引用85歲日本老奶奶的話：「夢想不是用來實現的，而是要全心投入其中。如果你能全心投入眼前的事，那就等於身處夢想之中。」,探索中 / 尚未定義
122,20-30歲,M,運動員紀錄者,Q3,熱情追尋者 Passionate Seekers,在美國和希臘都待過，但發現台灣才是最喜歡的地方。現在100%投入去看見台灣不為人知的運動員。,運動 / 戶外
